stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Desktop\Jogos\Pong CodeBlocks\ProjetoPong\bin\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.13042] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13047] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13054] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13059] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13066] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13071] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13078] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13083] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13090] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13095] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13102] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13211] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13236] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13243] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13250] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13256] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13262] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13268] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13274] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13280] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13287] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13292] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13299] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13307] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13314] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13320] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13326] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.13338] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.13401] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.13422] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.16946] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.23989] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.24012] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.24023] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.24049] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.24062] Returning d3d_display: 00000000007f9e10
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.24069] al_display=00000000007f9e10
